Title|Artist|Genre|Media Type|Year|Hours|Minutes|Seconds|Price|Cast|Disc|Ripped|Filename
Runaway Jury|Gary Fleder|532|2|2003||127||9.99|John Cusack, Gene Hackman, Dustin Hoffman, Rachel Weisz, Bruce Davison, bruce McGill, Jeremy Piven, Nick Sercy|1|1|Runaway Jury.mp4
The Distinguished Gentleman|Johnathan Lynn|502|2|1992||112||9.99|Eddie Murphy, Lane Smith, Sheryl Lee Ralph, Joe Don Baker Victoria Rowell, Grant Shaud, Kevin McCarthy, Charles S. Dutton|1|1|The Distinguished Gentleman.mp4
Coming To America|A Landis/Folsey|502|2|1988||114||9.99|Eddie Murphy, Arseno Hall, James Earl Jones, John Amos, Madge Sinclair, Shari Headley|1|1|Coming to America.mp4
Confidence|James Foley|503|2|2003||97||9.99|Edward Burns, Rachel Weisz, Andy Garcia, Dustin Hoffman, Paul Gianmatti, Donal Logue, Luis Guzman, Brian Van Holt, Franky G. Robert Forster, Leland Orser, Morris Chestnut|1|1|Confidence.mp4
While You Were Sleeping|Jon Turteltaub|529|2|2003||103||9.99|Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Glynis Johns, Jack Warder|1|1|While You Were Sleeping.mp4
Pirates of the Caribbean The Curse of the Black Pearl|Jerry Bruckheimer|501|2|2003||143||9.99|Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley|1|1|Pirates of the Caribbean The Curse of the Black Pearl.mp4
Big Momma's House|David T. Friendly|502|2|2000||98||9.99|Martin Lawrence, Nia Long, Paul Giamatii, Terrence Howard|1|1|Big Momma's House.mp4
The Inkwell|Irving Azoff|504|2|1994||112||9.99|Larenz Tate, Joe Morton, Suzzanne Douglas, Glynn Turman|1|1|The Inkwell.mp4
The 6th Day|Jon Davison|508|2|2000||124||9.99|Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn, Michael Rookersarah Wynter, Robert Duvall|1|1|The 6th Day.mp4
Overboard|Gary Marshall|502|2|1987|1|52||9.99|Goldie Hawn, Kurt Russell, Edward Herrmann, Katherine Hellmond, Roddy McDowall|1|1|Overboard.mp4
Ferris Bueller's Day Off|John Hughes|502|2|1986||102||9.99|Matthew Brodeick, Mia Sara, Alan Ruck|1|1|Ferris Bueller's Day Off.mp4
Forget Paris|Face|529|2|1995||101||9.99|Billy Crystal, Debra Winger, Joe Mantegna, Julie Kavner, Richard Masur, Cathy Moriarty|1|1|Forget Paris.mp4
Point of No Return|John Badham|500|2|1993||109||9.99|Bridget Fonda, Gabriel Byrne, Dermot Mulroney, Anne Bancroft, Harvey Keitel|1|1|Point of No Return.mp4
The Tuxedo|Parkes/McDonald|500|2|2002|1|39||9.99|Jackie Chan, Jennifer Love Hewitt, Jason Isaacs, Debi Mazar, Peter Stormare|1|1|The Tuxedo.mp4
Lara Croft Tomb Raider The Cradle Of Life|Jan De Bont|501|2|2003||117||9.99|Angelina Jolie, Gerard Butler, Noah Taylor, Ciarán Hinds, Djimon Hounsou, Til Schweiger, Simon Yam, Christopher Barrie|1|1|Lara Croft Tomb Raider The Cradle of Life.mp4
The Italian Job|F. Gary Grey|503|2|2003||110||9.99|Mark Wahlberg, Charlize Theron, Edward Norton,  Seth Green, Jason Statham, Mos Def, Frank G, Donald Sutherland|1|1|The Italian Job.mp4
Pretty Woman|Arnon Milchan|529|2|1990||125||9.99|Tichard Gere, Julia Roberts|1|1|Pretty Woman.mp4
The Nutty Professor|Tom Shadyac|502|2|1998|1|36||9.99|Eddie Murphy, Jada Pinkett, James Coburn, Dave Chappelle|1|1|The Nutty Professor.mp4
The Score|Horseshoe Bay/Lee Rich|503|2|2001||124||9.99|Robert DeNiro, Edward Norton, Angela Bassett, Marlon Brando|1|1|The Score.mp4
Jerry Maquire|Cameron Crowe|504|2|1996||139||9.99|Tom Cruise, Cuba Gooding Jr., Renee Zellweger, Kelly Preston, Jerry O'Connell, Jay Mohr, Bonnie Hunt|1|1|Jerry Maguire.mp4
The Bourne Identity|Doug Liman|500|2|2002|1|59||9.99|Matt Damon, Franka Potente, Cris Cooper, Clive Owen, Brian Cox, Adewale Akinnuoye-Agbaje|1|1|The Bourne Identity.mp4
Go For Broke|Warning Films|502|2|2002||94||9.99|Pras Michael Goorjian, Lisa Rae, Bobby Brown, Jean Claude  La Marre, Glenn Plummer, Ed Lauter|1|1|Go for Broke.mp4
The In-Laws|Andrew Fleming|502|2|2003||98||9.99|Micheal Douglas, Albert Brooks, Robin Tunney, Ryan Reynolds, Candice Bergen|1|1|The In-Laws.mp4
Fire Down Below|Segal/Nasso|500|2|1997||105||9.99|Steven Seagal, Marg Helgenberger, Harry Dean Stanton, Stephen Lang, Kris Kristofferson|1|1|Fire Down Below.mp4
Double Whammy|Tom Dicillo|502|2|2001||93||9.99|Dennis Leary, Elizabeth Hurley, Steve Buscemi, Luis Guzman, Donal Faison, Chris Noth, Victor Argo, Keith Nobbs|1|1|Double Whammy.mp4
Cliffhanger|Renny Harlin|532|2|1993||113||9.99|Sylvester Stallone, John Lithgow, Michael Rooker, Janine Tuner, Leon Paul Winfield, Ralph Waite|1|1|Cliffhanger.mp4
Bruce Almighty|Tom Shadyac|502|2|2003|1|42||14.99|Jim Carrey, Morgan Freeman, Jennifer Aniston, Philp Baker Hall|1|1|Bruce Almighty.mp4
Head of State|Chris Rock|502|2|2003|1|35||14.99|Chris Rock, Bernie Mac, Dylan Baker, Nick Searcy, Robin Givens, Lynn Whitfield, Tamala Jones, James Rebhorn|1|1|Head of State.mp4
Chasing Papi|Spirit Dance Entertainment|502|2|2003||80||14.99|Roselyn Sanchez, Sofia Vergara, Jaci Velasquez, Eduardo Verastegui|1|1|Chasing Papi.mp4
Blast From The Past|Hugh Wilson|502|2|1999||112||14.99|Brendan Fraser, Alicia Silverstone|1|1|Blast from the Past.mp4
Down To Earth|Chris Weitz and Paul Weitz|502|2|2001||87||14.99|Chris Rock, Regina King, Mark Addy, Wanda Sykes|1|1|Down to Earth.mp4
The Matrix Reloaded|The Wachowski Brothers|508|2|2003||138||14.99|Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Gloria Foster, Kym Barrett|1|1|The Matrix Reloaded.mp4
Terminator 3 Rise of the Machines|C2 Pictures|508|2|2003||109||14.99|Arnold Schwarzenegger, Nicj Stahl, Claire Danes, Dristanna Loken|1|1|Terminator 3 Rise of the Machines.mp4
Species|Robert Donaldson|508|2|1995|1|48||14.99|Ben Kingsley, Michael Madsen, Alred Molina, Forest Whitaker, Marg Helgenberger, natasha Henstridge|1|1|Species.mp4
The Lord of the Rings: The Twin Towers|Peter Jackson|525|2|2002||179||14.99|Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Christopher Lee, Billy Boyd, Dominic Monaghan, Orlando Bloom, Miranda Otto, David Wenham, Brad Dourif, Earl Urban, Andy Sebkis|1|1|The Lord of the Rings- The Two Towers.mp4
Boiling Point|James B. Harris|503|2|1993||93||14.99|Wesley Snipes, Dennis Hopper, Lolita Davidovich, Viggo Mortensen, Dan Hedaya|1|1|Boiling Point.mp4
Bulworth|Warren Beatty|502|2|1998||108||14.99|Warren Beatty, Halle Berry, Don Cheadle, Oliver Platt, Paul Sorvino, Jack Warden, Isaiah Washington|1|1|Bulworth.mp4
It's A Mad, Mad, Mad, Mad World|Stanley Kramer|502|2|1963|2|41||14.99|Spencer Tracy, Milton Berle, Sid Caesar, Buddy Hackett, Ethel Merman, Mickey Rooney, Dick Shawn, Phil Silvers, Terry Thomas, Jonathan Winters, Edi Adams, Dorothy Provine|1|1|It's a Mad, Mad, Mad, Mad World.mp4
Ronin|John Frankenheimer|503|2|1998|2|1||14.99|Robert DeNiro, Jean Reno Natascha Mcelhone, Stellan Skarsgard, Sean Bean, Jonathan Pryce|1|1|Ronin.mp4
The Recruit|Roger Donaldson|504|2|2003||115||14.99|Al Pacino, Colin Farrell|1|1|The Recruit.mp4
The Transporter|Europacorp|500|2|2002||92||14.99|Jason Statham, Shu Oi, Francois Berleand, Matt Schulze|1|1|The Transporter.mp4
Craddle 2 The Grave|Silver Pictures|500|2|2003||101||14.99|Jet Li, DMX, Anthony Anderson, Kelly Hu, Tom Arnold, Mark Dacascos, Gabrielle Union|1|1|Cradle 2 the Grave.mp4
Demolition Man|Silver Pictures|500|2|1993||115||14.99|Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne|1|1|Demolition Man.mp4
Gone In 60 Seconds|Jerry Bruckheimer|503|2|2000||118||14.99|Nicolas Cage, Angelina Jolie, Giovanni Ribisi, Robert Duvall|1|1|Gone in 60 Seconds.mp4
A Low Down Dirty Shame|Keenen Ivory Wayans|502|2|1994||100||14.99|Keenen Ivory Wayans,  Charles S. Dutton, Jada Pinkett, Salli Richardson, Andrew Divoff|1|1|A Low Down Dirty Shame.mp4
The Secret Of My Success|Herbert Ross|502|7|1987|1|50||14.99|Michael J. Fox, Helen Slater, Richard Jordan,  Margaret Whitton|1| |
Let It Flow|Omar Hakim|507|7|1993||70||14.99|Omar Hakim, Victor Bailey|1| |
Who's That Girl|James Foley|502|7|1987||94||14.99|Maddona, Griffin Dunne, Haviland Morris, John McMartin, Sir John Mills|1| | 
The Secret Of My Success|Herbert Ross|502|2|1987|1|50||14.99|Michael J. Fox, Helen Slater, Richard Jordan,  Margaret Whitton|1|1|The Secret of My Success.mp4
Basic Instinct|Paul Verhoeven|532|2|1992||123||14.99|Michael Douglas, Sharon Stone, |1|1|Basic Instinct.mp4
Basic Instinct|Paul Verhoeven|532|7|1992||123||14.99|Michael Douglas, Sharon Stone, |1| |
I Got Problems 2000|Arnez J.|502|7|2000||70||14.99|Arnez J.|1||
I Got Problems In Chicago|Arnez J.|502|7|1998||70||14.99|Arnez J.|1||
Strictly Business|Andre Harrell|502|7|1991||83||14.99|Tommy Davidson, Joseph C. Phillips, Anne Marie Johnson, David Marshall Grant, Halle Berry|1|1|Strictly Business.mp4
Sade Live|Sony Music Entertainment|507|2|1994||96||14.99|Sade|1|1|Sade Live.mp4
A Beautiful Mind|Ron Howard|504|2|2002|2|16||14.99|Russell Crowe, Ed Harris|1|1|A Beautiful Mind.mp4
Double Jeopardy|Lenonard Goldberg|504|2|1999||105||14.99|Ashley Judd, Tommy Lee Jones|1|1|Double Jeopardy.mp4
The Count Of Monte Cristo|Kevin Reynolds|504|2|2002||131||14.99|Jim Caviezel, Guy Pearce, Richard Harris|1|1|The Count of Monte Cristo.mp4
Knock Off|Tsui Hark|500|2|1998||91||14.99|Jean-Claud Van Damme, Rob Schneider, Lela Rochon, Paul Sorvino|1|1|Knock Off.mp4
Alien 3|David Fincher|508|2|1992||115||14.99|Sigourney Weaver|1|1|Alien 3.mp4
Kate & Leopold|James Mangold|529|2|2001||118||14.99|Meg Ryan, Hugh Jackman|1|1|Kate & Leopold.mp4
Commando|Silver Pictures|500|2|1985||90||5|Arnold Schwarzenegger, Rae Down Chong|1|1|Commando.mp4
Sabrina|Sydney Pollack|529|2|1995||127||14.95|Harrison Ford, Julia Ormond, Greg Kinnear|1|1|Sabrina-1995.mp4
Timecop|Peter Hyams|500|2|1994|1|39||17.59|Jean-Claud Van Damme, Ron Silver, Mia Sara|1|1|Timecop.mp4
What Lies Beneath|Robert Zemeckis|532|2|2000|2|10||14.99|Harrison Ford, Michelle Pfeiffer|1|1|What Lies Beneath.mp4
Don't Say A Word|Gary Fleder|532|2|2001||113||14.99|Micheal Douglas|1|1|Don't Say a Word.mp4
What Women Want|Nancy Meyers|502|2|2000||126||14.99|Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda, Lauren Holly, Ashley Johnson, Bette Midler|1|1|What Women Want.mp4
The Mask|Charles Russell|502|2|1994||101||9.99|Jim Carrey, Cameron Diaz|1|1|Mask.mp4
A Thin Line Between Love and Hate|Martin Lawrence|502|2|1996||108||7.49|Martin Lawrence, Lynn Whitfield|1|1|A Thin Line Between Love and Hate.mp4
Sade Live|Sony Music Entertainment|507|7|1994||96||5.99|Sade|1| |
Sade Lovers Live|Rob Small|507|2|2002|1|56||7.25|Sade|1|1|Sade Lovers Live.mp4
Money Talks|Brett Ratner|502|2|1997||95||14.95|Chris Tucker, Charlie Sheen|1|1|Money Talks.mp4
Spiderman|Laura Ziskin|508|2|2002||121||14.95|Tobey Maguire, Willem Dafoe, Kirsen Dunst, James Franco|1|1|SpiderMan (2002).mp4
Star Trek Nemesis|Rick Berman|508|2|2002||116||14.95|Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis|1|1|Star Trek Nemesis.mp4
Bandits|Barry Levinson|502|2|2001||123||14.95|Bruce Willis, Billy Bob Thornton, Cate Blanchett|1|1|Bandits.mp4
Nowhere To Run|Adelson/Baumgarten|500|2|1993||94||5.98|Jean-Claude Van Damme, Rosanna Arquette|1|1|Nowhere to Run.mp4
Terminator 2 Judgement Day|James Cameron|508|2|1991||156||14.99|Arnold Schwarzenegger, Linda Hamilton, Robert Patrick|1|1|Terminator 2 Judgment Day.mp4
Terminator 2 Judgement Day|James Cameron|508|7|1991||156||20|Arnold Schwarzenegger, Linda Hamilton, Robert Patrick|1| |
The Game|David Fincher|532|2|1998||128||14.99|Michael Douglas, Sean Penn|1|1|The Game.mp4
Dark Blue|Ron Shelton|500|2|2003|1|58||14.99|Kurt Russell, Brendan Gleeson, Scott Speedman, Michael Michele, Lolita Davidovich, Ving Rhames|1|1|Dark Blue.mp4
True Lies|James Cameron|500|2|1994||141||14.99|Arnold Schwarzenegger, Jamie Lee Curtis|1|1|True Lies.mp4
Joni Mitchell Shadows and Light|Joni Mitchell|507|2|1980||75||14.99|Joni Mitchell, Jaco Pastorius, Don Alias, Pat Metheny, Lyle Mays, Michael Brecker, The Persuasions|1|1|Joni Mitchell Shadows and Light.mp4
The Replacement Killers|Antoine Fuqua|503|2|1998||88||14.99|Chow Yun-Fat, Mira Sorvino|1|1|The Replacement Killers.mp4
Knockaround Guys|Levien/Koppelman|500|2|2003||92||14.99|Barry Pepper, Dennis Hopper, Vin Diesel, Seth Green, John Malkovich|1|1|Knockaround Guys.mp4
Wall Street|Oliver Stone|504|2|1987||125||14.99|Michael Douglas, Charlie Sheen, Daryl Hannah|1|1|Wall Street.mp4
Fourplay: An Evening of Fourplay|Fourplay|507|2|1994||117||14.99|Lee Ritenour, Bob James, Nathan East, Harvey Mason|1|1|Fourplay- An Evening of Fourplay.mp4
Lee Ritenour & Friends: Live from the Cocoanut Grove Volumes 1 & 2|Lee Riternour|507|2|1990||118||14.99|Bob James, Tuck and Patti, Joao Bosco, Steve Lukather, Ernie Watts, Phil Perry , Harvey Mason, Paulinho da Costa, Anthony Jackson, Brian Bromberg, Alan Broadbent, Dave Witham, Kat Markowitz|1|1|Lee Ritenour and Friends - Live from the Cocoanut Grove .mp4
The Fast And The Furious|Rob Cohen|500|2|2001|1|47||14.99|Paul Walker, Vin Diesel|1|1|The Fast and the Furious.mp4
Tombstone|George P. Cosmatos|510|2|1993||134||14.99|Kurt Russell, Val Kilmer|1|1|Tombstone.mp4
XXX|Rob Cohen|500|2|2002||124||14.99|Vin Diesel|1|1|XXX.mp4
The Original Kings Of Comedy|Spike Lee|502|2|2000||115||14.99|Steve Harvey, D.L. Hughley, Cedric The Entertainer, Bernie Mac|1|1|The Original Kings of Comedy.mp4
Universal Soldier|Roland Emmerich|508|2|1992||102||14.99|Jean-Claude Van Damme, Dolph Lundgren|1|1|Universal Soldier.mp4
Universal Soldier - The Return|Mike Rogers|508|2|1999||83||14.99|Jean-Claude Van Damme, |1|1|Universal Soldier The Return.mp4
